epoch 104,  actor_loss: 4.1230,  critic_loss: 0.0967, cost_time: 0.5769, best_solution: 0,od: 0.4013, eqity: 1.6550,rad: 26.2100
epoch 105,  actor_loss: 8.6000,  critic_loss: 0.1621, cost_time: 0.6757, best_solution: 0,od: 0.4582, eqity: 5.0952,rad: 26.2644
epoch 106,  actor_loss: 32.3480,  critic_loss: 0.5606, cost_time: 0.6309, best_solution: 0,od: 1.1719, eqity: 6.1867,rad: 31.1958
epoch 107,  actor_loss: 7.5631,  critic_loss: 0.1163, cost_time: 0.5838, best_solution: 0,od: 0.3660, eqity: 3.0480,rad: 26.2644
epoch 108,  actor_loss: 23.9713,  critic_loss: 0.5847, cost_time: 0.8054, best_solution: 0,od: 0.9722, eqity: 6.6950,rad: 34.3734
epoch 109,  actor_loss: 2.7336,  critic_loss: 0.1072, cost_time: 0.6035, best_solution: 0,od: 0.3786, eqity: 5.1842,rad: 23.0867
epoch 110,  actor_loss: 8.0416,  critic_loss: 0.3213, cost_time: 0.6441, best_solution: 0,od: 0.6291, eqity: 5.5743,rad: 26.2644
epoch 111,  actor_loss: 15.4326,  critic_loss: 0.6093, cost_time: 0.5047, best_solution: 0,od: 0.8410, eqity: 4.1098,rad: 20.5938
epoch 112,  actor_loss: 46.0049,  critic_loss: 1.3987, cost_time: 0.5715, best_solution: 0,od: 1.7104, eqity: 7.2021,rad: 31.1958
epoch 113,  actor_loss: 13.4097,  critic_loss: 0.5089, cost_time: 0.5064, best_solution: 0,od: 0.8116, eqity: 5.9537,rad: 14.9777
epoch 114,  actor_loss: 5.7041,  critic_loss: 0.2039, cost_time: 0.5586, best_solution: 0,od: 0.7297, eqity: 4.2337,rad: 26.2644
epoch 115,  actor_loss: -1.7489,  critic_loss: 0.1086, cost_time: 0.4029, best_solution: 0,od: 0.4596, eqity: 5.2277,rad: 21.3696
epoch 116,  actor_loss: -12.0772,  critic_loss: 0.1884, cost_time: 0.4928, best_solution: 0,od: 0.1753, eqity: 5.0116,rad: 6.8686
epoch 117,  actor_loss: 8.2883,  critic_loss: 0.4291, cost_time: 0.6822, best_solution: 0,od: 0.7202, eqity: 5.5453,rad: 26.2644
epoch 118,  actor_loss: -3.5917,  critic_loss: 0.0861, cost_time: 0.4969, best_solution: 0,od: 0.6479, eqity: 7.4466,rad: 6.8686
epoch 119,  actor_loss: -9.7733,  critic_loss: 0.2381, cost_time: 0.5689, best_solution: 0,od: 0.3646, eqity: 3.4398,rad: 20.5938
epoch 120,  actor_loss: 4.0361,  critic_loss: 0.4824, cost_time: 0.5745, best_solution: 0,od: 0.7526, eqity: 4.2073,rad: 6.8686
epoch 121,  actor_loss: -4.8939,  critic_loss: 0.3374, cost_time: 0.3980, best_solution: 0,od: 0.3292, eqity: 2.4299,rad: 14.9777
epoch 122,  actor_loss: -2.0029,  critic_loss: 0.2129, cost_time: 0.5370, best_solution: 0,od: 0.5163, eqity: 5.3035,rad: 6.8686
epoch 123,  actor_loss: -2.3502,  critic_loss: 0.3054, cost_time: 0.5820, best_solution: 0,od: 0.8095, eqity: 7.9926,rad: 23.7715
epoch 124,  actor_loss: 23.1712,  critic_loss: 0.6809, cost_time: 0.5341, best_solution: 0,od: 1.4900, eqity: 5.8969,rad: 29.3877
epoch 125,  actor_loss: 1.3133,  critic_loss: 0.2330, cost_time: 0.6852, best_solution: 0,od: 0.7923, eqity: 4.9561,rad: 14.9777
epoch 126,  actor_loss: 10.7026,  critic_loss: 0.5667, cost_time: 0.6805, best_solution: 0,od: 1.0576, eqity: 5.2350,rad: 23.4770
epoch 127,  actor_loss: -15.7715,  critic_loss: 0.2246, cost_time: 0.6525, best_solution: 0,od: 0.2224, eqity: 2.6781,rad: 15.3680
epoch 128,  actor_loss: -9.4385,  critic_loss: 0.1614, cost_time: 0.6065, best_solution: 0,od: 0.3545, eqity: 6.5828,rad: 14.9777
epoch 129,  actor_loss: -3.1624,  critic_loss: 0.1948, cost_time: 0.5931, best_solution: 0,od: 0.5560, eqity: 6.1927,rad: 17.8912
epoch 130,  actor_loss: -8.7008,  critic_loss: 0.2243, cost_time: 0.5136, best_solution: 0,od: 0.2660, eqity: 1.8304,rad: 20.5938
epoch 131,  actor_loss: 19.5984,  critic_loss: 1.2487, cost_time: 0.6051, best_solution: 0,od: 1.2900, eqity: 3.5743,rad: 23.0867
epoch 132,  actor_loss: 6.4833,  critic_loss: 0.6948, cost_time: 0.5236, best_solution: 0,od: 0.7417, eqity: 4.8522,rad: 26.2644
epoch 133,  actor_loss: 2.0287,  critic_loss: 0.2884, cost_time: 0.4214, best_solution: 0,od: 0.5611, eqity: 3.2783,rad: 5.1515
epoch 134,  actor_loss: -12.3665,  critic_loss: 0.2656, cost_time: 0.4556, best_solution: 0,od: 0.0358, eqity: 0.4730,rad: 6.8686
epoch 135,  actor_loss: -3.1564,  critic_loss: 0.3171, cost_time: 0.5326, best_solution: 0,od: 0.4253, eqity: 3.4826,rad: 18.1553
epoch 136,  actor_loss: 1.0256,  critic_loss: 0.1449, cost_time: 0.5086, best_solution: 0,od: 0.5634, eqity: 5.4250,rad: 31.1958
epoch 137,  actor_loss: -6.8456,  critic_loss: 0.1435, cost_time: 0.5017, best_solution: 0,od: 0.1869, eqity: 2.3271,rad: 14.9777
epoch 138,  actor_loss: -3.1654,  critic_loss: 0.1162, cost_time: 0.4916, best_solution: 0,od: 0.3389, eqity: 2.8168,rad: 23.0867
epoch 139,  actor_loss: -2.6869,  critic_loss: 0.1215, cost_time: 0.3247, best_solution: 0,od: 0.3179, eqity: 1.0266,rad: 12.4848
epoch 140,  actor_loss: 14.7894,  critic_loss: 0.4686, cost_time: 0.5592, best_solution: 0,od: 0.8589, eqity: 6.5939,rad: 29.4420
epoch 141,  actor_loss: 10.6442,  critic_loss: 0.3576, cost_time: 0.6382, best_solution: 0,od: 0.7061, eqity: 3.4575,rad: 23.0867
epoch 142,  actor_loss: 7.2023,  critic_loss: 0.2602, cost_time: 0.5446, best_solution: 0,od: 0.5962, eqity: 4.5755,rad: 18.1553
epoch 143,  actor_loss: -7.5403,  critic_loss: 0.0696, cost_time: 0.5064, best_solution: 0,od: 0.0975, eqity: 2.3386,rad: 14.9777
epoch 144,  actor_loss: -5.1346,  critic_loss: 0.0666, cost_time: 0.5600, best_solution: 0,od: 0.2332, eqity: 2.5919,rad: 6.8686
epoch 145,  actor_loss: 19.1239,  critic_loss: 0.5195, cost_time: 0.6777, best_solution: 0,od: 0.8651, eqity: 7.0274,rad: 37.5511
epoch 146,  actor_loss: -1.0784,  critic_loss: 0.0727, cost_time: 0.4922, best_solution: 0,od: 0.2050, eqity: 2.2750,rad: 14.9777
epoch 147,  actor_loss: 3.3210,  critic_loss: 0.0961, cost_time: 0.4179, best_solution: 0,od: 0.4207, eqity: 2.8217,rad: 12.4848
epoch 148,  actor_loss: 2.5173,  critic_loss: 0.0888, cost_time: 0.3561, best_solution: 0,od: 0.3427, eqity: 3.0225,rad: 23.0867
epoch 149,  actor_loss: 3.5481,  critic_loss: 0.1760, cost_time: 0.4239, best_solution: 0,od: 0.3411, eqity: 1.9683,rad: 14.9777
epoch 150,  actor_loss: 19.4270,  critic_loss: 0.7881, cost_time: 0.5775, best_solution: 0,od: 0.7330, eqity: 4.6098,rad: 20.5938
epoch 151,  actor_loss: 16.2701,  critic_loss: 0.6297, cost_time: 0.4783, best_solution: 0,od: 0.7932, eqity: 5.6264,rad: 23.4770
epoch 152,  actor_loss: 28.5442,  critic_loss: 0.9741, cost_time: 0.4399, best_solution: 0,od: 1.1582, eqity: 6.9985,rad: 23.0867
epoch 153,  actor_loss: 10.5001,  critic_loss: 0.2059, cost_time: 0.4708, best_solution: 0,od: 0.6322, eqity: 4.0271,rad: 23.0867
epoch 154,  actor_loss: -1.0397,  critic_loss: 0.0331, cost_time: 0.4937, best_solution: 0,od: 0.3391, eqity: 3.6596,rad: 28.7029
epoch 155,  actor_loss: -2.0457,  critic_loss: 0.0868, cost_time: 0.5577, best_solution: 0,od: 0.3515, eqity: 3.7934,rad: 23.4770
epoch 156,  actor_loss: 7.6101,  critic_loss: 0.4400, cost_time: 0.4110, best_solution: 0,od: 0.5534, eqity: 3.4385,rad: 12.4848
epoch 157,  actor_loss: 34.2035,  critic_loss: 0.9721, cost_time: 0.6166, best_solution: 0,od: 1.5229, eqity: 7.1046,rad: 31.1958
epoch 158,  actor_loss: -1.5664,  critic_loss: 0.0727, cost_time: 0.4249, best_solution: 0,od: 0.2837, eqity: 3.2094,rad: 14.9777
epoch 159,  actor_loss: 1.4459,  critic_loss: 0.1700, cost_time: 0.4309, best_solution: 0,od: 0.3430, eqity: 6.0992,rad: 14.9777
epoch 160,  actor_loss: 19.2582,  critic_loss: 0.5769, cost_time: 0.5706, best_solution: 0,od: 1.0171, eqity: 9.2521,rad: 31.1958
epoch 161,  actor_loss: 4.1164,  critic_loss: 0.2366, cost_time: 0.5690, best_solution: 0,od: 0.5713, eqity: 3.9625,rad: 23.4770
epoch 162,  actor_loss: -5.7194,  critic_loss: 0.1164, cost_time: 0.4309, best_solution: 0,od: 0.2142, eqity: 2.8641,rad: 6.8686
epoch 163,  actor_loss: -1.6590,  critic_loss: 0.0368, cost_time: 0.5824, best_solution: 0,od: 0.4558, eqity: 5.4110,rad: 23.0867
epoch 164,  actor_loss: -0.8127,  critic_loss: 0.1310, cost_time: 0.5027, best_solution: 0,od: 0.4519, eqity: 4.3023,rad: 23.0867
epoch 165,  actor_loss: 8.8467,  critic_loss: 0.5877, cost_time: 0.5186, best_solution: 0,od: 0.6414, eqity: 4.2680,rad: 14.9777
epoch 166,  actor_loss: -2.2974,  critic_loss: 0.1959, cost_time: 0.4737, best_solution: 0,od: 0.4037, eqity: 5.5778,rad: 20.5938
epoch 167,  actor_loss: 17.7208,  critic_loss: 1.6019, cost_time: 0.3506, best_solution: 0,od: 0.8940, eqity: 2.0158,rad: 13.6508
epoch 168,  actor_loss: -4.1229,  critic_loss: 0.1431, cost_time: 0.4359, best_solution: 0,od: 0.2472, eqity: 1.2080,rad: 14.9777
epoch 169,  actor_loss: 14.8012,  critic_loss: 0.4647, cost_time: 0.7191, best_solution: 0,od: 0.7920, eqity: 5.9649,rad: 26.2644
epoch 170,  actor_loss: 4.7425,  critic_loss: 0.1417, cost_time: 0.4583, best_solution: 0,od: 0.5134, eqity: 4.4678,rad: 32.6563
epoch 171,  actor_loss: -1.2487,  critic_loss: 0.0728, cost_time: 0.6333, best_solution: 0,od: 0.4258, eqity: 3.0170,rad: 26.2100
epoch 172,  actor_loss: -2.9188,  critic_loss: 0.1371, cost_time: 0.3461, best_solution: 0,od: 0.3045, eqity: 2.4198,rad: 13.2605
epoch 173,  actor_loss: -0.2298,  critic_loss: 0.1421, cost_time: 0.5115, best_solution: 0,od: 0.4690, eqity: 4.1832,rad: 14.9777
epoch 174,  actor_loss: 2.2642,  critic_loss: 0.1783, cost_time: 0.5186, best_solution: 0,od: 0.6010, eqity: 3.7000,rad: 20.5938
epoch 175,  actor_loss: -1.2173,  critic_loss: 0.1128, cost_time: 0.4054, best_solution: 0,od: 0.2909, eqity: 3.0748,rad: 6.8686
epoch 176,  actor_loss: 25.7332,  critic_loss: 0.4510, cost_time: 0.5979, best_solution: 0,od: 1.1487, eqity: 9.5404,rad: 23.7715
