
epoch 80,  actor_loss: 14.9563,  critic_loss: 54.3824, cost_time: 2.3341, best_solution: [9.27474594116211],od: 8.7847, eqity: 9.2668,rad: 27.9490
epoch 81,  actor_loss: 53.9207,  critic_loss: 62.9769, cost_time: 2.5247, best_solution: [9.27474594116211],od: 10.3838, eqity: 10.4997,rad: 32.1269
epoch 82,  actor_loss: -67.2551,  critic_loss: 64.6819, cost_time: 2.1595, best_solution: [10.38381576538086],od: 6.1985, eqity: 7.6408,rad: 22.2144
epoch 83,  actor_loss: 69.7604,  critic_loss: 77.2339, cost_time: 2.3538, best_solution: [10.38381576538086],od: 8.2083, eqity: 8.2052,rad: 26.2644
epoch 84,  actor_loss: 37.1752,  critic_loss: 55.6582, cost_time: 2.1960, best_solution: [10.38381576538086],od: 5.8438, eqity: 6.1000,rad: 23.9301
epoch 85,  actor_loss: 141.4120,  critic_loss: 63.4933, cost_time: 2.2942, best_solution: [10.38381576538086],od: 7.0663, eqity: 7.2280,rad: 23.4815
epoch 86,  actor_loss: 235.7201,  critic_loss: 91.7337, cost_time: 2.4146, best_solution: [10.38381576538086],od: 8.8201, eqity: 9.5791,rad: 24.8467
epoch 87,  actor_loss: 340.1835,  critic_loss: 105.2869, cost_time: 2.5251, best_solution: [10.38381576538086],od: 11.0700, eqity: 11.1604,rad: 30.5471
epoch 88,  actor_loss: 195.5368,  critic_loss: 65.3033, cost_time: 2.2639, best_solution: [11.069953918457031],od: 8.0995, eqity: 8.8754,rad: 26.0428
epoch 89,  actor_loss: 244.3056,  critic_loss: 103.8891, cost_time: 2.4370, best_solution: [11.069953918457031],od: 9.2346, eqity: 8.6601,rad: 25.6892
epoch 90,  actor_loss: 258.7424,  critic_loss: 93.2885, cost_time: 2.5750, best_solution: [11.069953918457031],od: 11.2239, eqity: 11.0719,rad: 33.3688
epoch 91,  actor_loss: 79.3746,  critic_loss: 67.0222, cost_time: 2.5184, best_solution: [11.223892211914062],od: 8.7159, eqity: 9.8328,rad: 23.6755
epoch 92,  actor_loss: -28.2839,  critic_loss: 54.6796, cost_time: 2.2320, best_solution: [11.223892211914062],od: 6.9777, eqity: 8.1946,rad: 26.2825
epoch 93,  actor_loss: -42.8132,  critic_loss: 70.5903, cost_time: 2.3749, best_solution: [11.223892211914062],od: 7.2170, eqity: 7.5596,rad: 25.9984
epoch 94,  actor_loss: 66.8391,  critic_loss: 65.6605, cost_time: 2.3577, best_solution: [11.223892211914062],od: 9.2794, eqity: 9.1292,rad: 31.7754
epoch 95,  actor_loss: 241.7551,  critic_loss: 89.3869, cost_time: 2.3808, best_solution: [11.223892211914062],od: 11.9424, eqity: 9.9253,rad: 30.9622
epoch 96,  actor_loss: 102.7867,  critic_loss: 63.1668, cost_time: 2.4550, best_solution: [11.942437171936035],od: 9.0074, eqity: 9.2205,rad: 26.2644
